user_id,n_x,rmse_base,mae_base,n_y,rmse_candidate,mae_candidate,delta_rmse,candidate
U137,32256.0,0.6930384069667888,0.3599338288912365,32256.0,0.4682985562357351,0.16614558853570527,0.22473985073105368,user_blend
U14,32063.0,6.041634397842501,2.5687353575215406,32063.0,5.1996768793005055,2.0001277289682178,0.8419575185419959,user_blend
U19,11135.0,0.621930261747121,0.238276953159991,11135.0,0.4859222243866932,0.07374472202802722,0.13600803736042777,user_blend
U228,4669.0,15.762295594317507,6.108283339940744,4669.0,15.714364344306505,6.020515633978788,0.04793125001100229,user_blend
U266,11136.0,20.270783282267427,10.757346862615977,11136.0,20.41934944202638,10.353156003909993,-0.14856615975895338,user_blend
U268,32064.0,85.99971400193459,29.90052287012042,32064.0,99.52127571424046,36.68511275268266,-13.521561712305868,user_blend
U354,32063.0,4.472395362965905,1.3181693063045552,32063.0,3.3205127986910763,1.0747781697163188,1.1518825642748287,user_blend
U376,11136.0,22.310002088693615,13.153534583246959,11136.0,30.18503068822129,15.583903786175581,-7.875028599527674,user_blend
U382,11136.0,8.360836857758876,3.5646026470672525,11136.0,7.473151015968797,2.9155613737585835,0.8876858417900797,user_blend
U50,11135.0,23.686333778575875,8.859599136823832,11135.0,23.686333778575875,8.859599136823832,0.0,user_blend
U125,4669.0,210.61065832018147,98.71491899773142,4669.0,149.2353325144283,59.35515801764119,61.375325805753164,final_ensemble
U137,32256.0,0.6930384069667888,0.3599338288912365,32256.0,0.4682985562357351,0.16614558853570527,0.22473985073105368,final_ensemble
U14,32063.0,6.041634397842501,2.5687353575215406,32063.0,6.041634397842501,2.5687353575215406,0.0,final_ensemble
U19,11135.0,0.621930261747121,0.238276953159991,11135.0,0.4859222243866932,0.07374472202802722,0.13600803736042777,final_ensemble
U228,4669.0,15.762295594317507,6.108283339940744,4669.0,15.762295594317507,6.108283339940744,0.0,final_ensemble
U266,11136.0,20.270783282267427,10.757346862615977,11136.0,20.270783282267427,10.757346862615977,0.0,final_ensemble
U268,32064.0,85.99971400193459,29.90052287012042,32064.0,199.41121071713553,67.71976250795763,-113.41149671520094,final_ensemble
U354,32063.0,4.472395362965905,1.3181693063045552,32063.0,4.472395362965905,1.3181693063045552,0.0,final_ensemble
U376,11136.0,22.310002088693615,13.153534583246959,11136.0,22.310002088693615,13.153534583246959,0.0,final_ensemble
